,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Precios Pasaje Clase Turistica,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TYO (JPN),"1,890",675,"1,013",0,"1,350","1,215","1,418",,"1,215",945,"1,485",,"1,823",743,,,,,,,,,,,,,
,LON (GBR),945,,878,"1,350",0,"1,080",203,0,540,,270,203,,"1,283","1,485",,,,,,,,,,,,
,LAX (USA),540,"1,485","1,755","1,215",,0,"1,148","1,215","1,485","1,890",,"1,148",405,"1,553",,,,,,,,,,,,,
,PAR (FRA),"1,013",,945,"1,418",,"1,148",0,203,608,"1,283",270,243,,"1,283","1,418",,,,,,,,,,,,
,FRA (DEU),,"1,148",810,"1,283",270,"1,215",203,0,473,"1,215",,,"1,148","1,215",,,,,,,,,,,,,
,IST (TUR),,"1,080",540,"1,215",,"4,049",,473,0,"1,080",675,608,"1,350","1,080","1,620",,,,,,,,,,,,
,SIN (SGP),,810,,945,"1,215",,"1,283",,"1,080",0,"1,350",,"1,890",,,,,,,,,,,,,,
,MAD (ESP),,,"1,013",,,"1,215",270,338,675,"1,350",0,270,"1,148","1,283","1,350",,,,,,,,,,,,
,AMS (NLD),"1,053","1,215",878,"1,350",203,"1,148",,0,608,"1,283",270,0,"1,080","1,215","1,418",,,,,,,,,,,,
,DFW (USA),270,,"1,620",,,405,"1,080",,"1,350",,"1,148","1,080",0,"1,620","1,283",,,,,,,,,,,,
,CAN (CHN),"1,688",270,878,743,"1,283","1,553","1,283",,"1,080",675,,"1,215","1,620",0,"2,295",,,,,,,,,,,,
,SAO (BRA),"1,215","2,295",,"2,430","1,485",,"1,418","1,485","1,620",,"1,350",,"1,283","2,295",0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tiempos de viaje en horas,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ATL (USA),PEK (CHN),DXB (ARE),TYO (JPN),LON (GBR),LAX (USA),PAR (FRA),FRA (DEU),IST (TUR),SIN (SGP),MAD (ESP),AMS (NLD),DFW (USA),CAN (CHN),SAO (BRA),,,,,,,,,,,,
,ATL (USA),0,15,14,16,8,5,9,9,11,18,8,9,2,16,9,,,,,,,,,,,,
,PEK (CHN),15,0,8,3,10,12,11,10,9,6,12,10,14,3,22,,,,,,,,,,,,
,DXB (ARE),14,8,0,10,7,16,7,7,4,7,8,7,15,8,15,,,,,,,,,,,,
,TYO (JPN),16,3,10,0,12,11,13,12,11,7,14,12,13,4,24,,,,,,,,,,,,
,LON (GBR),8,10,7,12,0,11,1,1,4,13,2,1,10,11,12,,,,,,,,,,,,
,LAX (USA),5,12,16,11,11,0,11,11,13,17,11,11,3,14,12,,,,,,,,,,,,
,PAR (FRA),9,11,7,13,1,11,0,1,3,13,2,1,10,11,12,,,,,,,,,,,,
,FRA (DEU),9,10,7,12,1,11,1,0,3,12,2,1,10,10,12,,,,,,,,,,,,
,IST (TUR),11,9,4,11,4,13,3,3,0,10,4,3,12,9,13,,,,,,,,,,,,
,SIN (SGP),18,6,7,7,13,17,13,12,10,0,14,13,17,4,25,,,,,,,,,,,,
,MAD (ESP),8,12,8,14,2,11,2,2,4,14,0,2,10,12,10,,,,,,,,,,,,
,AMS (NLD),9,10,7,12,1,11,1,1,3,13,2,0,10,10,12,,,,,,,,,,,,
,DFW (USA),2,14,15,13,10,3,10,10,12,17,10,10,0,15,10,,,,,,,,,,,,
,CAN (CHN),16,3,8,4,11,14,11,10,9,4,12,10,15,0,23,,,,,,,,,,,,
,SAO (BRA),9,22,15,24,12,12,12,12,13,25,10,12,10,23,0,,,,,,,,,,,,
